wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
3758.0,-0.04507080272535195,-0.05073804899761836,5,0,-0.08867368797916142,-0.05073804899761836,-0.05600549622014661,-0.022984503881561924,-0.006952276548271463
3756.0,-0.045241499891890725,-0.050577856050178616,5,0,-0.08918367318487919,-0.050577856050178616,-0.056116821955725094,-0.024777874786072962,-0.005551273482597763
3754.0,-0.047158662441021806,-0.05076195307711284,5,0,-0.09139126285871146,-0.05076195307711284,-0.05845648728902919,-0.03449325012531479,-0.0006903588549407313
3752.0,-0.05003777135448515,-0.051385914761840956,4,1,-0.09572248214105317,-0.05001026562421318,-0.061990247656579456,-0.051385914761840956,0.008920053411261009
3750.0,-0.05062760100828778,-0.05890951034122516,4,1,-0.09841264571849684,-0.048288695124916625,-0.062411390037850234,-0.05890951034122516,0.014884236181049948
3748.0,-0.04937053804154936,-0.05517408839586113,4,1,-0.09803525150134385,-0.0472069211554651,-0.060339916538451055,-0.05517408839586113,0.013903487383374324
3746.0,-0.049333242876259176,-0.05636738507582417,4,1,-0.0983874127287514,-0.04667816024960758,-0.059522375498737956,-0.05636738507582417,0.01428911917162523
3744.0,-0.048184946354205095,-0.05391349746755236,4,1,-0.09859322613195376,-0.04539247356149079,-0.05694978050059629,-0.05391349746755236,0.013924245890567732
3742.0,-0.044360851174276794,-0.04343591279290537,4,1,-0.09552955278214803,-0.04343591279290537,-0.052197292430437026,-0.03938763302057713,0.008746135154683587
3740.0,-0.04219483267092579,-0.04232696150050885,4,1,-0.0928360838784894,-0.04232696150050885,-0.05075055632115477,-0.03135708990038122,0.0062965282459053196
3738.0,-0.04358981741058869,-0.04202191519372711,4,1,-0.09410701971149638,-0.04202191519372711,-0.05392482078313887,-0.03995552897155186,0.012060197606970746
3736.0,-0.04568178082766661,-0.05427233785714791,4,1,-0.09729180922688418,-0.04152316227740438,-0.0571264906168607,-0.05427233785714791,0.021804895839964145
3734.0,-0.04550318631329135,-0.055155203165695,4,1,-0.09810677898161568,-0.042608730432943664,-0.05523220964381115,-0.055155203165695,0.02358699065760872
3732.0,-0.04316159953508154,-0.04562375148185671,4,1,-0.09558848598507841,-0.04562375148185671,-0.04969605818043665,-0.04081061469126146,0.01591091266322553
3730.0,-0.040621441841192985,-0.045534102229359386,4,1,-0.09228064884656662,-0.0480173308848475,-0.045534102229359386,-0.026265444901407697,0.008990317656216273
3728.0,-0.039522540632106876,-0.04428686922408498,4,1,-0.09049325351437987,-0.04984041372745507,-0.04428686922408498,-0.02055399005320324,0.007561823358588793
3726.0,-0.039403310753050966,-0.04406926422645441,4,1,-0.09034490227396064,-0.05196265639267961,-0.04406926422645441,-0.02039767658378544,0.009757945711625249
3724.0,-0.038788464553191515,-0.04333703154542756,4,1,-0.09018519189221008,-0.0544460539552023,-0.04333703154542756,-0.017985041799629675,0.012010996426512044
3722.0,-0.0373441201508943,-0.04204293922486335,4,1,-0.08925134041418059,-0.05775582520856304,-0.04204293922486335,-0.010951782337768723,0.013281286430904204
3720.0,-0.03507047023247627,-0.04061581646371559,4,1,-0.08786286345207084,-0.061718742719969244,-0.04061581646371559,-1.231278430702254e-05,0.01485738425768135
3718.0,-0.03233447049470626,-0.040307588641009806,3,2,-0.08660345698159788,-0.06580236911294901,-0.040307588641009806,0.012551019878151992,0.018490042383873417
3716.0,-0.03016488611959236,-0.0429034743190273,3,2,-0.08665097568834534,-0.06960737531634553,-0.0429034743190273,0.021963213417347083,0.026374181308409295
3714.0,-0.029360821999980267,-0.04840489028670514,3,2,-0.08926446289050483,-0.07339003354834261,-0.04840489028670514,0.024391024788127158,0.039864251937524076
3712.0,-0.028804991818265104,-0.05206949234432834,3,2,-0.09388073202225855,-0.07872251236777883,-0.05206949234432834,0.02483182887756985,0.05581594876547036
3710.0,-0.026019809112916837,-0.04914071677519305,3,2,-0.0970416553093979,-0.08629001110668888,-0.04914071677519305,0.03753264186980387,0.06484069575689178
3708.0,-0.020620496688059077,-0.045195413152913755,3,2,-0.09749696482200676,-0.09156985374741378,-0.045195413152913755,0.06295889603601212,0.06820085224602679
3706.0,-0.014999684650805367,-0.04453235476148065,3,2,-0.0978756695686247,-0.09305999443941937,-0.04453235476148065,0.08630526802608118,0.0741643274894167
3704.0,-0.01067311142490902,-0.044166787886910086,3,2,-0.09987155462416653,-0.0935106810548264,-0.044166787886910086,0.10145738397981008,0.08272608246154783
3702.0,-0.007470570419169398,-0.039901421533314,3,2,-0.10269895833369136,-0.09451047012367542,-0.039901421533314,0.11118731851873953,0.08857067937609425
3700.0,-0.005994189962533125,-0.03324357284327606,3,2,-0.1043099557490581,-0.09588938933551938,-0.03324357284327606,0.11699223939280756,0.08647972872238036
3698.0,-0.008479689608776774,-0.029863963289757378,3,2,-0.10440198685433644,-0.09764092098690125,-0.029863963289757378,0.11258092163819078,0.07692750144892041
